elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
7.0,1943-01-01,2024-01-01,36.6667,"MALAGA AEROPUERTO, SP",0.9993,GHCND:SP000006155,METERS,-4.4881
4.0,1925-01-01,2024-01-01,41.2928,"BARCELONA AEROPUERTO, SP",0.8594,GHCND:SP000008181,METERS,2.0697
14.0,1973-01-01,2024-01-01,28.9517,"LANZAROTE AEROPUERTO, SP",0.9993,GHCND:SP000060040,METERS,-13.6003
7.0,1934-01-01,1980-01-01,36.8331,"ALMERIA, SP",0.893,GHCND:SPE00119774,METERS,-2.4544
21.0,1969-01-01,2024-01-01,36.8464,"ALMERIA AEROPUERTO, SP",0.9993,GHCND:SPE00119783,METERS,-2.3567
22.0,1939-01-01,2000-01-01,43.5381,"GIJON LA MERCED, SP",0.9993,GHCND:SPE00119801,METERS,-5.6417
5.0,2002-01-01,2024-01-01,43.5606,"GIJON MUSEL, SP",0.9993,GHCND:SPE00119819,METERS,-5.6983
6.0,1944-01-01,2024-01-01,38.8764,"IBIZA ESCODOLA, SP",0.6538,GHCND:SPE00119855,METERS,1.3842
3.0,1973-01-01,2024-01-01,39.5556,"PALMA DE MALLORCA CMT, SP",0.9609,GHCND:SPE00119882,METERS,2.6264
1.0,1956-01-01,2024-01-01,36.5008,"CADIZ, SP",0.811,GHCND:SPE00119936,METERS,-6.2567
27.0,1954-01-01,2024-01-01,36.7506,"JEREZ DE LA FRONTERA, SP",0.9289,GHCND:SPE00119945,METERS,-6.0556
21.0,1989-01-01,2024-01-01,36.6389,"ROTA, SP",0.9716,GHCND:SPE00119954,METERS,-6.3317
32.0,1946-01-01,2024-01-01,36.0153,"TARIFA, SP",0.7337,GHCND:SPE00119963,METERS,-5.5975
5.0,1955-01-01,2023-01-01,43.4292,"SANTANDER PARAYAS, SP",0.84,GHCND:SPE00119990,METERS,-3.8314
4.0,2004-01-01,2022-01-01,43.3606,"SAN SEBASTIAN FUENTERRABIA, SP",0.9993,GHCND:SPE00120134,METERS,-1.7869
19.0,1985-01-01,2024-01-01,37.28,"HUELVA RONDA DEL ESTE, SP",0.9743,GHCND:SPE00120143,METERS,-6.9094
17.0,1920-01-01,2021-01-01,37.2594,"HUELVA, SP",0.5976,GHCND:SPE00120152,METERS,-6.9492
25.0,1967-01-01,2024-01-01,28.4444,"FUERTEVENTURA AEROPUERTO, SP",0.9476,GHCND:SPE00120197,METERS,-13.8631
24.0,1958-01-01,2024-01-01,27.9225,"LAS PALMAS DE GRAN CANARIA GAN, SP",0.3729,GHCND:SPE00120215,METERS,-15.3892
19.0,1946-01-01,1985-01-01,42.4306,"PONTEVEDRA INSTITUTO, SP",0.5996,GHCND:SPE00120404,METERS,-8.6494
32.0,1974-01-01,2024-01-01,27.8189,"HIERRO AEROPUERTO, SP",0.9601,GHCND:SPE00120431,METERS,-17.8889
33.0,1971-01-01,2024-01-01,28.6331,"LA PALMA AEROPUERTO, SP",0.9438,GHCND:SPE00120449,METERS,-17.755
34.0,1951-01-01,2024-01-01,37.4167,"SEVILLA SAN PABLO, SP",0.9588,GHCND:SPE00120512,METERS,-5.8792
3.0,2008-01-01,2024-01-01,40.7078,"AMPOSTA, SP",0.8817,GHCND:SPE00155964,METERS,0.6319
33.0,2008-01-01,2024-01-01,41.3839,"BARCELONA EL RAVAL, SP",0.8817,GHCND:SPE00155991,METERS,2.1675
32.0,2008-01-01,2024-01-01,41.0628,"BENISSANET, SP",0.8817,GHCND:SPE00156009,METERS,0.635
14.0,2008-01-01,2024-01-01,41.8083,"CASTELL DARO, SP",0.8817,GHCND:SPE00156072,METERS,3.0325
17.0,2008-01-01,2024-01-01,41.2017,"CUNIT, SP",0.8817,GHCND:SPE00156126,METERS,1.6331
8.0,2012-01-01,2024-01-01,41.3403,"EL PRAT DE LLOBREGAT, SP",0.9223,GHCND:SPE00156171,METERS,2.0803
1.0,2008-01-01,2024-01-01,40.7069,"ILLA DE BUDA, SP",0.8817,GHCND:SPE00156252,METERS,0.8342
29.0,2008-01-01,2024-01-01,41.9775,"LA BISBAL DEMPORDA, SP",0.8817,GHCND:SPE00156261,METERS,3.0353
2.0,2008-01-01,2024-01-01,41.6467,"MALGRAT DE MAR, SP",0.8229,GHCND:SPE00156324,METERS,2.7567
24.0,2008-01-01,2024-01-01,42.2706,"ROSES, SP",0.8817,GHCND:SPE00156477,METERS,3.1817
4.0,2008-01-01,2024-01-01,42.1769,"SANT PERE PESCADOR, SP",0.8817,GHCND:SPE00156522,METERS,3.0967
5.0,2010-01-01,2024-01-01,41.1039,"TARRAGONA COMPLEX EDUCATIU, SP",0.9327,GHCND:SPE00156576,METERS,1.2008
2.0,2008-01-01,2024-01-01,41.1467,"TORREDEMBARRA, SP",0.8817,GHCND:SPE00156594,METERS,1.4181
25.6,1958-01-01,2002-01-01,36.65,"ROTA NAS, SP",0.9327,GHCND:SPW00013025,METERS,-6.35
